Name,Price,Link,Weight,Loft,Lie,Head,Shaft,Grip,Headcover
THE ST. CLAIR,$349.00 USD,https://detroitputterco.com/products/the-st-clair,"362 G
LIE",N/A,N/A,303 Stainless Steel,Double Bend Chrome Shaft,DPC Navy Pistol Grip,N/A
THE M-10,$349.00 USD,https://detroitputterco.com/products/the-m10,370 G,N/A,N/A,431 Stainless Steel,Double Bend Chrome,DPC Black Pistol Grip,N/A
THE 313,$349.00 USD,https://detroitputterco.com/products/the-313,377 G,N/A,N/A,313 Red Dancin' Mitten design,Black Coated Steel,DPC Red Pistol Grip,N/A
THE AMBASSADOR,$349.00 USD,https://detroitputterco.com/products/the-ambassador,375 G,N/A,N/A,Black DPC Ambassador design or White Dancin' Mitten design,Chrome Steel,DPC Black Pistol Grip,N/A
THE GRAND RIVER,$349.00 USD,https://detroitputterco.com/products/the-grand-river-1-0,365 G,3 Degrees,69 Degrees,303 Stainless Steel,Steel (Black coated or Chrome),DPC Pistol Grip,N/A
THE WOODWARD 1.0,$349.00 USD,https://detroitputterco.com/products/the-woodward-1-1,368 G,3 Degrees,70 Degrees,303 Stainless Steel,Steel (Black Coated or Chrome),DPC Pistol Grip,N/A
